Community Number,Community,Area(km2),Population(2000)
126,Abu Hail,1.27,21414
721,Al Awir,8.67,15463.25
333,Al Bada,0.82,18816
122,Al Baraha,1.104,7823
373,Al Barsha ,8.67,15463.25
671,Al Barsha South,8.67,15463.25
114,Al Buteen,0.07,2364
214,Al Garhoud,8.67,4466
313,Al Hamriya,0.72,15104
131,Al Hamriya Port,0.89,83
322,Al Hudaiba,0.84,7699
326,Al Jaddaf,7.3,2990
323,Al Jafiliya,1.63,11619
318,Al Karama,1.509,45674
128,Al Khabisi,1.255,6737
134,Al Mamzar,3.35,2260
363,Al Manara,2.1,2147
317,Al Mankhool,8.67,16013
262,Al Mizhar,11.2,4326
124,Al Muraqqabat,0.78,32395
117,Al Murar,0.41,19831
252,Al Mushrif,8.67,15463.25
123,Al Muteena,1.12,18094
231,Al Nahda,3.18,600
354,Al Quoz,27.1,16719
232,Al Qusais,8.67,15502
316,Al Raffa,1.24,12
112,Al Ras,0.2,6812
216,Al Rashidiya,4.41,22326
119,Al Rigga,0.89,5684
115,Al Sabkha,0.13,2627
353,Al Safa,4.5,6291
311,Al Shindagha,0.26,16
343,Al Wasl,4.76,22153
612,Downtown Dubai,2.68,18
598,Dubai Investment park,8.67,15463.25
393,Emirates Hill,12.3,15463.25
891,Hatta,8.67,15463.25
127,Hor Al Anz,4.18,40342
384,Jebel Ali,47.1,31634
599,Jebel Ali Industrial,47.1,31634
50,Jebel Ali Palm,8.67,15463.25
332,Jumeira,6.9,26499
381,Palm Jumeira,8.67,15463.25
392,Marsa Dubai,8.67,15463.25
251,Mirdif,9.2,8115
261,Muhaisnah,8.67,90870
118,Naif,0.561,28571
129,Port Saeed,1.84,448
600,Arabian Ranches,8.67,15463.25
411,Ras Al Khor,8.67,15463.25
125,Rigga Al Buteen,0.684,1394
367,Umm Al Sheif,1.87,6263
314,Umm Hurair,2.3,4428
215,Umm Ramool,3.61,4629
356,Umm Suqeim,7.2,16459
271,Wadi Alamardi,8.67,15463.25
621,Warsan,17.1,1421
325,Zaabeel,8.67,5283